unit,lat,lon,year,count
Tulare County,36.210334,-119.335214,1934,1
Six Rivers National Forest,41.840065,-123.997312,1934,1
Klamath National Forest,41.336017,-122.841974,1934,10
Los Padres National Forest,34.768611,-120.061716,1934,3
Sequoia - Kings Canyon NP,36.49042,-118.82488,1934,2
Stanislaus National Forest,38.036256,-120.283203,1934,12
Cleveland National Forest,33.022118,-117.094959,1934,7
Plumas National Forest,39.937816,-120.94114,1934,7
Tahoe National Forest,39.301182,-120.678146,1934,7
Los Angeles County,34.05513,-118.25703,1934,1
Modoc National Forest,41.339102,-121.147262,1934,2
Shasta-Trinity National Forest,40.520709,-122.301395,1934,16
Yosemite National Park,37.58395,-119.695053,1934,1
Los Padres National Forest,34.768611,-120.061716,1935,3
Stanislaus National Forest,38.036256,-120.283203,1935,2
Los Angeles County,34.05513,-118.25703,1935,5
San Bernardino National Forest,34.090473,-117.260245,1935,1
Angeles National Forest,34.181417,-118.074422,1935,2
Ventura County,34.27834,-119.29317,1935,1
Tahoe National Forest,39.301182,-120.678146,1935,4
Modoc National Forest,41.339102,-121.147262,1935,3
Sierra National Forest,36.829829,-119.684965,1935,1
Plumas National Forest,39.937816,-120.94114,1935,1
Pinnacles National Park,36.499123,-121.116237,1935,1
Cleveland National Forest,33.022118,-117.094959,1935,6
Sequoia National Forest,36.032162,-119.078781,1935,3
Shasta-Trinity National Forest,40.520709,-122.301395,1935,5
Klamath National Forest,41.336017,-122.841974,1935,3
Klamath National Forest,41.336017,-122.841974,1936,1
Eldorado National Forest,38.721085,-120.829644,1936,1
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1936,7
Six Rivers National Forest,41.840065,-123.997312,1936,6
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1936,1
Sierra National Forest,36.829829,-119.684965,1936,7
San Bernardino National Forest,34.090473,-117.260245,1936,3
Los Padres National Forest,34.768611,-120.061716,1936,6
Ventura County,34.27834,-119.29317,1936,1
Tahoe National Forest,39.301182,-120.678146,1936,6
Los Angeles County,34.05513,-118.25703,1936,5
Modoc National Forest,41.339102,-121.147262,1936,5
Shasta-Trinity National Forest,40.520709,-122.301395,1936,2
Angeles National Forest,34.181417,-118.074422,1936,2
Cleveland National Forest,33.022118,-117.094959,1936,3
Stanislaus National Forest,38.036256,-120.283203,1936,6
Sequoia National Forest,36.032162,-119.078781,1936,1
Plumas National Forest,39.937816,-120.94114,1936,7
Modoc National Forest,41.339102,-121.147262,1937,1
Los Angeles County,34.05513,-118.25703,1937,6
Riverside CAL FIRE,33.496892,-117.1504,1937,1
