year,month,count
1981,7,35.0
1981,8,42.0
1981,9,17.0
1981,10,6.0
1981,11,1.0
1981,12,1.0
1982,1,1.0
1982,2,0.0
1982,3,0.0
1982,4,0.0
1982,5,5.0
1982,6,7.0
1982,7,15.0
1982,8,25.0
1982,9,19.0
1982,10,12.0
1982,11,1.0
1982,12,0.0
1983,1,0.0
1983,2,0.0
1983,3,0.0
1983,4,0.0
1983,5,6.0
1983,6,21.0
1983,7,45.0
1983,8,19.0
1983,9,10.0
1983,10,2.0
1983,11,0.0
1983,12,0.0
1984,1,1.0
1984,2,0.0
1984,3,3.0
1984,4,6.0
1984,5,33.0
1984,6,14.0
1984,7,30.0
1984,8,16.0
1984,9,16.0
1984,10,3.0
1984,11,1.0
1984,12,0.0
1985,1,0.0
1985,2,0.0
1985,3,0.0
1985,4,2.0
1985,5,4.0
1985,6,20.0
1985,7,54.0
1985,8,21.0
1985,9,4.0
1985,10,14.0
1985,11,0.0
1985,12,2.0
1986,1,1.0
1986,2,0.0
1986,3,1.0
1986,4,1.0
1986,5,4.0
1986,6,17.0
1986,7,25.0
1986,8,13.0
1986,9,8.0
1986,10,3.0
1986,11,6.0
1986,12,1.0
1987,1,0.0
1987,2,1.0
1987,3,1.0
1987,4,3.0
1987,5,18.0
1987,6,14.0
1987,7,22.0
1987,8,81.0
1987,9,30.0
1987,10,9.0
1987,11,1.0
1987,12,0.0
1988,1,1.0
1988,2,0.0
1988,3,6.0
1988,4,4.0
1988,5,7.0
1988,6,26.0
1988,7,32.0
1988,8,29.0
1988,9,25.0
1988,10,5.0
1988,11,1.0
1988,12,9.0
1989,1,1.0
1989,2,0.0
1989,3,0.0
1989,4,3.0
1989,5,4.0
1989,6,22.0
1989,7,16.0
1989,8,11.0
1989,9,9.0
1989,10,4.0
1989,11,7.0
1989,12,1.0
1990,1,0.0
1990,2,0.0
1990,3,1.0
1990,4,1.0
1990,5,0.0
1990,6,18.0
1990,7,10.0
1990,8,32.0
1990,9,7.0
1990,10,7.0
1990,11,0.0
1990,12,0.0
1991,1,2.0
1991,2,0.0
1991,3,0.0
1991,4,3.0
1991,5,0.0
1991,6,1.0
1991,7,5.0
1991,8,6.0
1991,9,12.0
1991,10,6.0
1991,11,3.0
1991,12,0.0
1992,1,0.0
1992,2,1.0
1992,3,0.0
1992,4,0.0
1992,5,6.0
1992,6,17.0
1992,7,19.0
1992,8,20.0
1992,9,14.0
1992,10,2.0
1992,11,3.0
1992,12,0.0
1993,1,0.0
1993,2,0.0
1993,3,0.0
1993,4,0.0
1993,5,14.0
1993,6,25.0
1993,7,9.0
1993,8,11.0
1993,9,13.0
1993,10,13.0
1993,11,6.0
1993,12,0.0
1994,1,1.0
1994,2,0.0
1994,3,0.0
1994,4,0.0
1994,5,7.0
1994,6,30.0
1994,7,23.0
1994,8,31.0
1994,9,10.0
1994,10,6.0
1994,11,2.0
1994,12,1.0
1995,1,0.0
1995,2,0.0
1995,3,0.0
1995,4,0.0
1995,5,6.0
1995,6,10.0
1995,7,34.0
1995,8,23.0
1995,9,15.0
1995,10,13.0
1995,11,7.0
1995,12,2.0
1996,1,2.0
1996,2,0.0
1996,3,0.0
1996,4,9.0
1996,5,17.0
1996,6,43.0
1996,7,32.0
1996,8,57.0
1996,9,11.0
1996,10,16.0
1996,11,1.0
1996,12,0.0
1997,1,0.0
1997,2,0.0
1997,3,1.0
1997,4,3.0
1997,5,18.0
1997,6,6.0
1997,7,14.0
1997,8,25.0
1997,9,23.0
1997,10,5.0
1997,11,2.0
1997,12,0.0
1998,1,0.0
1998,2,0.0
1998,3,0.0
1998,4,0.0
1998,5,1.0
1998,6,5.0
1998,7,17.0
1998,8,24.0
1998,9,13.0
1998,10,32.0
1998,11,1.0
1998,12,1.0
1999,1,0.0
1999,2,0.0
1999,3,3.0
1999,4,3.0
1999,5,6.0
1999,6,7.0
1999,7,23.0
1999,8,73.0
1999,9,20.0
1999,10,12.0
1999,11,1.0
1999,12,4.0
2000,1,0.0
2000,2,1.0
2000,3,3.0
2000,4,1.0
2000,5,1.0
2000,6,16.0
2000,7,21.0
2000,8,20.0
2000,9,16.0
2000,10,2.0
2000,11,1.0
2000,12,0.0
2001,1,1.0
2001,2,0.0
2001,3,0.0
2001,4,0.0
2001,5,10.0
2001,6,24.0
2001,7,22.0
2001,8,28.0
2001,9,12.0
2001,10,6.0
2001,11,1.0
2001,12,1.0
2002,1,0.0
2002,2,3.0
2002,3,3.0
2002,4,3.0
2002,5,10.0
2002,6,29.0
2002,7,26.0
2002,8,12.0
2002,9,16.0
2002,10,4.0
2002,11,9.0
2002,12,0.0
2003,1,2.0
2003,2,0.0
2003,3,0.0
2003,4,2.0
2003,5,2.0
2003,6,24.0
2003,7,55.0
2003,8,31.0
2003,9,45.0
2003,10,18.0
2003,11,3.0
2003,12,0.0
2004,1,1.0
2004,2,0.0
2004,3,0.0
2004,4,3.0
2004,5,11.0
2004,6,15.0
2004,7,24.0
2004,8,29.0
2004,9,21.0
2004,10,8.0
2004,11,1.0
2004,12,0.0
2005,1,0.0
2005,2,0.0
2005,3,0.0
2005,4,1.0
2005,5,5.0
2005,6,19.0
2005,7,44.0
2005,8,22.0
2005,9,31.0
2005,10,7.0
2005,11,4.0
2005,12,0.0
2006,1,1.0
2006,2,2.0
2006,3,0.0
2006,4,0.0
2006,5,5.0
2006,6,30.0
2006,7,81.0
2006,8,20.0
2006,9,16.0
2006,10,5.0
