unit,lat,lon,year,count,area_burned
Sierra National Forest,36.829829,-119.684965,1926,10,19435.9374
Los Padres National Forest,34.768611,-120.061716,1926,11,8490.589100000001
Stanislaus National Forest,38.036256,-120.283203,1926,8,10289.6239
Sequoia National Forest,36.032162,-119.078781,1926,14,27475.4697
Sequoia - Kings Canyon NP,36.49042,-118.82488,1926,2,35238.7719
San Bernardino National Forest,34.090473,-117.260245,1926,5,2488.629
Angeles National Forest,34.181417,-118.074422,1926,1,489.3339
Eldorado National Forest,38.721085,-120.829644,1926,5,2167.1519
Plumas National Forest,39.937816,-120.94114,1926,12,10628.9582
Six Rivers National Forest,41.840065,-123.997312,1926,1,509.2398
Mendocino National Forest,39.172201,-122.90607,1926,1,2317.473
Riverside CAL FIRE,33.496892,-117.1504,1926,1,603.1134
Tahoe National Forest,39.301182,-120.678146,1926,15,25291.6734
Lassen National Forest,40.20725,-120.90771,1926,19,40619.9445
Angeles National Forest,34.181417,-118.074422,1927,8,3717.4842
Plumas National Forest,39.937816,-120.94114,1927,7,38108.3709
Tahoe National Forest,39.301182,-120.678146,1927,3,2462.8434
Cleveland National Forest,33.022118,-117.094959,1927,10,8493.6355
Mendocino National Forest,39.172201,-122.90607,1927,2,1958.1911
Sequoia National Forest,36.032162,-119.078781,1927,4,6119.2189
Los Angeles County,34.05513,-118.25703,1927,13,40212.8224
Sierra National Forest,36.829829,-119.684965,1927,2,6725.3192
Stanislaus National Forest,38.036256,-120.283203,1927,4,33107.9653
Los Padres National Forest,34.768611,-120.061716,1927,9,16675.6973
San Bernardino National Forest,34.090473,-117.260245,1927,5,11049.8884
Six Rivers National Forest,41.840065,-123.997312,1927,3,6865.5052000000005
Eldorado National Forest,38.721085,-120.829644,1927,3,1750.5683000000001
Mendocino National Forest,39.172201,-122.90607,1928,5,24050.976300000002
Riverside CAL FIRE,33.496892,-117.1504,1928,1,60175.28
Tahoe National Forest,39.301182,-120.678146,1928,3,2913.7874
Plumas National Forest,39.937816,-120.94114,1928,8,3343.5400999999997
Eldorado National Forest,38.721085,-120.829644,1928,3,1082.3178
Klamath National Forest,41.336017,-122.841974,1928,4,34935.6426
San Bernardino National Forest,34.090473,-117.260245,1928,7,22362.825100000002
Angeles National Forest,34.181417,-118.074422,1928,3,1185.8583
Six Rivers National Forest,41.840065,-123.997312,1928,4,1643.2364
Lassen National Forest,40.20725,-120.90771,1928,4,10931.5558
Sequoia - Kings Canyon NP,36.49042,-118.82488,1928,1,21997.88
Los Angeles County,34.05513,-118.25703,1928,19,53625.0827
Sierra National Forest,36.829829,-119.684965,1928,10,26565.4656
Modoc National Forest,41.339102,-121.147262,1928,4,855.8753
Los Padres National Forest,34.768611,-120.061716,1928,20,106757.3881
Stanislaus National Forest,38.036256,-120.283203,1928,3,897.7096
Sequoia National Forest,36.032162,-119.078781,1928,13,55819.371600000006
Cleveland National Forest,33.022118,-117.094959,1928,11,120597.7732
Sierra National Forest,36.829829,-119.684965,1929,3,12578.906599999998
Mendocino National Forest,39.172201,-122.90607,1929,5,12413.222699999998
Klamath National Forest,41.336017,-122.841974,1929,7,5109.6167000000005
Los Padres National Forest,34.768611,-120.061716,1929,10,39308.8068
Sequoia National Forest,36.032162,-119.078781,1929,7,4171.6257
Eldorado National Forest,38.721085,-120.829644,1929,7,2053.4156
Lassen National Forest,40.20725,-120.90771,1929,5,7553.2758
Six Rivers National Forest,41.840065,-123.997312,1929,14,28755.4571
Cleveland National Forest,33.022118,-117.094959,1929,6,54538.542499999996
Plumas National Forest,39.937816,-120.94114,1929,14,25745.4312
San Bernardino National Forest,34.090473,-117.260245,1929,7,12405.3982
Modoc National Forest,41.339102,-121.147262,1929,3,9550.8622
Ventura County,34.27834,-119.29317,1929,1,26513.72
Marin County,37.87136,-122.513604,1929,1,864.1425
Tahoe National Forest,39.301182,-120.678146,1929,5,4121.1705
Angeles National Forest,34.181417,-118.074422,1929,2,348.1526
Stanislaus National Forest,38.036256,-120.283203,1929,1,206.3182
Los Angeles County,34.05513,-118.25703,1929,15,4900.8647
Modoc National Forest,41.339102,-121.147262,1930,2,1670.2664
Eldorado National Forest,38.721085,-120.829644,1930,1,232.9345
Riverside CAL FIRE,33.496892,-117.1504,1930,1,274.3621
Orange County,33.802647,-117.84931,1930,1,733.4557
Shasta-Trinity National Forest,40.520709,-122.301395,1930,13,4587.0318
Cleveland National Forest,33.022118,-117.094959,1930,3,1648.5994
Angeles National Forest,34.181417,-118.074422,1930,1,145.8323
Klamath National Forest,41.336017,-122.841974,1930,3,808.2263
Six Rivers National Forest,41.840065,-123.997312,1930,2,369.392
Los Angeles County,34.05513,-118.25703,1930,3,9257.755
Tahoe National Forest,39.301182,-120.678146,1930,4,1877.0720999999999
Los Padres National Forest,34.768611,-120.061716,1930,11,4566.8985
Lassen National Forest,40.20725,-120.90771,1930,1,464.6971
Sequoia - Kings Canyon NP,36.49042,-118.82488,1930,2,1206.6970000000001
San Bernardino National Forest,34.090473,-117.260245,1930,3,602.0227
Plumas National Forest,39.937816,-120.94114,1930,9,3367.5774
Stanislaus National Forest,38.036256,-120.283203,1930,4,2830.8899
Sequoia National Forest,36.032162,-119.078781,1930,2,1023.5361
Sierra National Forest,36.829829,-119.684965,1930,7,12398.547
Mendocino National Forest,39.172201,-122.90607,1930,1,803.1897
Cleveland National Forest,33.022118,-117.094959,1931,6,2715.6913999999997
Six Rivers National Forest,41.840065,-123.997312,1931,3,562.6071
Los Padres National Forest,34.768611,-120.061716,1931,9,23300.8698
Shasta-Trinity National Forest,40.520709,-122.301395,1931,25,14663.4089
San Bernardino National Forest,34.090473,-117.260245,1931,2,318.1574
Orange County,33.802647,-117.84931,1931,1,7760.305
Riverside CAL FIRE,33.496892,-117.1504,1931,1,431.9389
Los Angeles County,34.05513,-118.25703,1931,4,2835.7821
Tahoe National Forest,39.301182,-120.678146,1931,5,6365.657
Lassen National Forest,40.20725,-120.90771,1931,14,58243.83
Plumas National Forest,39.937816,-120.94114,1931,12,38102.9257
Sierra National Forest,36.829829,-119.684965,1931,8,19923.0325
Mendocino CAL FIRE,39.345892,-123.319092,1931,1,33101.59
Klamath National Forest,41.336017,-122.841974,1931,2,525.9331999999999
Pinnacles National Park,36.499123,-121.116237,1931,3,15228.278699999999
Sequoia National Forest,36.032162,-119.078781,1931,7,10317.976
Eldorado National Forest,38.721085,-120.829644,1931,3,1712.6598000000001
Mendocino National Forest,39.172201,-122.90607,1931,3,3324.2272
Modoc National Forest,41.339102,-121.147262,1931,10,10814.8222
Sequoia - Kings Canyon NP,36.49042,-118.82488,1931,1,219.3071
Stanislaus National Forest,38.036256,-120.283203,1931,5,12872.7961
Mendocino National Forest,39.172201,-122.90607,1932,8,35767.478
Klamath National Forest,41.336017,-122.841974,1932,1,1106.481
Plumas National Forest,39.937816,-120.94114,1932,10,3392.5081
Lassen National Forest,40.20725,-120.90771,1932,4,1978.7026
Modoc National Forest,41.339102,-121.147262,1932,1,275.377
Los Padres National Forest,34.768611,-120.061716,1932,4,224570.26799999998
Los Angeles County,34.05513,-118.25703,1932,5,1938.9279999999999
Riverside CAL FIRE,33.496892,-117.1504,1932,1,532.0588
Shasta-Trinity National Forest,40.520709,-122.301395,1932,13,10364.3967
Eldorado National Forest,38.721085,-120.829644,1932,2,7808.7907000000005
Six Rivers National Forest,41.840065,-123.997312,1932,5,1345.4205000000002
Sierra National Forest,36.829829,-119.684965,1932,3,8708.390500000001
Sequoia National Forest,36.032162,-119.078781,1932,4,3593.6808
Stanislaus National Forest,38.036256,-120.283203,1932,10,2677.2621
Channel Islands - NPS,33.986645,-119.911155,1932,1,7575.753
San Bernardino National Forest,34.090473,-117.260245,1932,1,10747.87
Cleveland National Forest,33.022118,-117.094959,1932,2,464.9122
Tahoe National Forest,39.301182,-120.678146,1932,3,631.4425
Angeles National Forest,34.181417,-118.074422,1932,3,2433.637
Tahoe National Forest,39.301182,-120.678146,1933,2,355.5854
Cleveland National Forest,33.022118,-117.094959,1933,4,4159.9026
Riverside CAL FIRE,33.496892,-117.1504,1933,1,2239.717
Los Padres National Forest,34.768611,-120.061716,1933,4,54498.2862
Los Angeles County,34.05513,-118.25703,1933,3,5547.4633
Sequoia National Forest,36.032162,-119.078781,1933,2,1405.5859
Modoc National Forest,41.339102,-121.147262,1933,2,759.4187
Klamath National Forest,41.336017,-122.841974,1933,4,1432.6154999999999
Sequoia - Kings Canyon NP,36.49042,-118.82488,1933,1,487.2241
Shasta-Trinity National Forest,40.520709,-122.301395,1933,3,1602.0465
Eldorado National Forest,38.721085,-120.829644,1933,1,1488.456
